TCP_ID;URL;DraCor_ID
A00456;https://texts.earlyprint.org/downloads/A00/A00456.xml.zip;eng000001
A00723;https://texts.earlyprint.org/downloads/A00/A00723.xml.zip;eng000002
A00725;https://texts.earlyprint.org/downloads/A00/A00725.xml.zip;eng000003
A00760;https://texts.earlyprint.org/downloads/A00/A00760.xml.zip;eng000004
A00959;https://texts.earlyprint.org/downloads/A00/A00959.xml.zip;eng000005
A00960;https://texts.earlyprint.org/downloads/A00/A00960.xml.zip;eng000006
A00962;https://texts.earlyprint.org/downloads/A00/A00962.xml.zip;eng000007
A00966;https://texts.earlyprint.org/downloads/A00/A00966.xml.zip;eng000008
A00967;https://texts.earlyprint.org/downloads/A00/A00967.xml.zip;eng000009
A00968;https://texts.earlyprint.org/downloads/A00/A00968.xml.zip;eng000010
A00969;https://texts.earlyprint.org/downloads/A00/A00969.xml.zip;eng000011
A00979;https://texts.earlyprint.org/downloads/A00/A00979.xml.zip;eng000012
A01046;https://texts.earlyprint.org/downloads/A01/A01046.xml.zip;eng000013
A01047;https://texts.earlyprint.org/downloads/A01/A01047.xml.zip;eng000014
A01049;https://texts.earlyprint.org/downloads/A01/A01049.xml.zip;eng000015
A01052;https://texts.earlyprint.org/downloads/A01/A01052.xml.zip;eng000016
A01055;https://texts.earlyprint.org/downloads/A01/A01055.xml.zip;eng000017
A01056;https://texts.earlyprint.org/downloads/A01/A01056.xml.zip;eng000018
A01057;https://texts.earlyprint.org/downloads/A01/A01057.xml.zip;eng000019
A01253;https://texts.earlyprint.org/downloads/A01/A01253.xml.zip;eng000020
A01353;https://texts.earlyprint.org/downloads/A01/A01353.xml.zip;eng000021
A01425;https://texts.earlyprint.org/downloads/A01/A01425.xml.zip;eng000022
A01500;https://texts.earlyprint.org/downloads/A01/A01500.xml.zip;eng000023
A01502;https://texts.earlyprint.org/downloads/A01/A01502.xml.zip;eng000024
A01506;https://texts.earlyprint.org/downloads/A01/A01506.xml.zip;eng000025
A01509;https://texts.earlyprint.org/downloads/A01/A01509.xml.zip;eng000026
A01513_01;https://texts.earlyprint.org/downloads/A01/A01513_01.xml.zip;eng000027
A01513_02;https://texts.earlyprint.org/downloads/A01/A01513_02.xml.zip;eng000028
A01520;https://texts.earlyprint.org/downloads/A01/A01520.xml.zip;eng000029
A01772;https://texts.earlyprint.org/downloads/A01/A01772.xml.zip;eng000030
A01773;https://texts.earlyprint.org/downloads/A01/A01773.xml.zip;eng000031
A01775;https://texts.earlyprint.org/downloads/A01/A01775.xml.zip;eng000032
A01777;https://texts.earlyprint.org/downloads/A01/A01777.xml.zip;eng000033
